"","site_type","allele_freq","dist_bin","mean_D","mean_r2","mean_D_prime","num_pairs","s_ben","s_del","rho_exp","mu_exp","theta","h_del","h_ben","model","num_sites"
"955","nonsyn","int",600,0.00108146967608546,0.065621469354635,-0.566175935244839,23216,0.1,0.001,6,6,0,0.5,0.5,1,10
"956","syn","int",600,0.00140019966420112,0.0661868010231923,-0.370951348124364,22037,0.1,0.001,6,6,0,0.5,0.5,1,10
"957","nonsyn","common",600,0.0249515235457064,0.184044867295534,0.0640116118452535,2888,0.1,0.001,6,6,0,0.5,0.5,1,10
"958","syn","common",600,0.00217492792871495,0.115465975903586,-0.0163919913508074,11447,0.1,0.001,6,6,0,0.5,0.5,1,10
"959","nonsyn","rare",600,0.000380686085682628,0.0341831036580029,-0.874418875342482,134473,0.1,0.001,6,6,0,0.5,0.5,1,10
"960","syn","rare",600,0.000451804396628404,0.037648628177681,-0.764218778788394,47218,0.1,0.001,6,6,0,0.5,0.5,1,10
"961","nonsyn","int",650,0.0011271998960679,0.0628553053117083,-0.563594188924431,23092,0.1,0.001,6,6,0,0.5,0.5,1,10
"962","syn","int",650,0.000971061222664461,0.0616209730280263,-0.376097668910964,22361,0.1,0.001,6,6,0,0.5,0.5,1,10
"963","nonsyn","common",650,0.0234619658119658,0.176634845348565,0.058129390896486,2808,0.1,0.001,6,6,0,0.5,0.5,1,10
"964","syn","common",650,0.00444642700953381,0.105736721148944,0.00250430272734586,11433,0.1,0.001,6,6,0,0.5,0.5,1,10
"965","nonsyn","rare",650,0.000364715311379344,0.0332267406886537,-0.876164373561326,134129,0.1,0.001,6,6,0,0.5,0.5,1,10
"966","syn","rare",650,0.000401721269516253,0.0359279282494679,-0.765944475700778,46884,0.1,0.001,6,6,0,0.5,0.5,1,10
"967","nonsyn","int",700,0.000907313161088954,0.0591568413272481,-0.55920310193687,23068,0.1,0.001,6,6,0,0.5,0.5,1,10
"968","syn","int",700,0.00126375375102301,0.0609041656120837,-0.362085084683018,21994,0.1,0.001,6,6,0,0.5,0.5,1,10
"969","nonsyn","common",700,0.0241467204104067,0.165129452555944,0.0622075510157012,2729,0.1,0.001,6,6,0,0.5,0.5,1,10
"970","syn","common",700,0.00413010647737356,0.0991716760275221,0.00166009105057616,11270,0.1,0.001,6,6,0,0.5,0.5,1,10
"971","nonsyn","rare",700,0.000313746153616348,0.0320087930034658,-0.878121027153097,133892,0.1,0.001,6,6,0,0.5,0.5,1,10
"972","syn","rare",700,0.000362486290390618,0.0354691992298696,-0.769008546358265,47412,0.1,0.001,6,6,0,0.5,0.5,1,10
"973","nonsyn","int",750,0.00112254168815541,0.0590995295413911,-0.554533101443273,23268,0.1,0.001,6,6,0,0.5,0.5,1,10
"974","syn","int",750,0.000875789473684211,0.0567810231763506,-0.365045921352867,22135,0.1,0.001,6,6,0,0.5,0.5,1,10
"975","nonsyn","common",750,0.0229269042627533,0.161401914363759,0.0568874845809552,2862,0.1,0.001,6,6,0,0.5,0.5,1,10
"976","syn","common",750,0.00340738404122978,0.0943051111209273,-0.00454266005848442,11254,0.1,0.001,6,6,0,0.5,0.5,1,10
"977","nonsyn","rare",750,0.00033091855142904,0.0320238461111271,-0.877962623210809,134146,0.1,0.001,6,6,0,0.5,0.5,1,10
"978","syn","rare",750,0.000392852287692765,0.0335021542481066,-0.764976369736468,47078,0.1,0.001,6,6,0,0.5,0.5,1,10
"979","nonsyn","int",800,0.000824075118185367,0.0559894836282208,-0.55838380580432,23057,0.1,0.001,6,6,0,0.5,0.5,1,10
"980","syn","int",800,0.000804332473176694,0.0539524117517031,-0.364404295007891,22089,0.1,0.001,6,6,0,0.5,0.5,1,10
"981","nonsyn","common",800,0.0202384916399858,0.148594190379051,0.0441636585304407,2811,0.1,0.001,6,6,0,0.5,0.5,1,10
"982","syn","common",800,0.00480158884279283,0.089079925780311,0.00845986813497678,11329,0.1,0.001,6,6,0,0.5,0.5,1,10
"983","nonsyn","rare",800,0.000342748774546657,0.0319444661933375,-0.874060083577391,133012,0.1,0.001,6,6,0,0.5,0.5,1,10
"984","syn","rare",800,0.000333759935904194,0.0322717417540185,-0.769222468044779,47429,0.1,0.001,6,6,0,0.5,0.5,1,10
"985","nonsyn","int",850,0.000913872233964543,0.0545148308482177,-0.543262857864143,23183,0.1,0.001,6,6,0,0.5,0.5,1,10
"986","syn","int",850,0.000894378929013904,0.0516500210845674,-0.358935833977051,21793,0.1,0.001,6,6,0,0.5,0.5,1,10
"987","nonsyn","common",850,0.0204673469387755,0.135816681190857,0.0604239613376329,2891,0.1,0.001,6,6,0,0.5,0.5,1,10
"988","syn","common",850,0.00325310382217403,0.0844932501779562,-0.00577603489585944,11067,0.1,0.001,6,6,0,0.5,0.5,1,10
"989","nonsyn","rare",850,0.000310905431988966,0.030652825921274,-0.877670922923786,132677,0.1,0.001,6,6,0,0.5,0.5,1,10
"990","syn","rare",850,0.000318621551760668,0.0309020425395397,-0.76838858202308,47198,0.1,0.001,6,6,0,0.5,0.5,1,10
"991","nonsyn","int",900,0.000902919418758256,0.0523702423842284,-0.544306314715215,22710,0.1,0.001,6,6,0,0.5,0.5,1,10
"992","syn","int",900,0.000742338225791563,0.0496183459217007,-0.357651635454912,21666,0.1,0.001,6,6,0,0.5,0.5,1,10
"993","nonsyn","common",900,0.0173295422535211,0.132540014631767,0.0399359845505849,2840,0.1,0.001,6,6,0,0.5,0.5,1,10
"994","syn","common",900,0.00308128529174509,0.0782959707916054,-0.00353840778234289,11157,0.1,0.001,6,6,0,0.5,0.5,1,10
"995","nonsyn","rare",900,0.000275448505977586,0.0293951480654232,-0.879567852785878,133666,0.1,0.001,6,6,0,0.5,0.5,1,10
"996","syn","rare",900,0.000339870385421568,0.0310504698356592,-0.768403519393294,46754,0.1,0.001,6,6,0,0.5,0.5,1,10
"997","nonsyn","int",950,0.000770777468222184,0.0505076560071496,-0.541505229994598,22972,0.1,0.001,6,6,0,0.5,0.5,1,10
"998","syn","int",950,0.00046368377710678,0.0476526055011132,-0.362535013455033,21858,0.1,0.001,6,6,0,0.5,0.5,1,10
"999","nonsyn","common",950,0.0185000369276219,0.135277014982035,0.0336795820274262,2708,0.1,0.001,6,6,0,0.5,0.5,1,10
"1000","syn","common",950,0.00293970276008493,0.075712030437709,-0.00418880919036782,11304,0.1,0.001,6,6,0,0.5,0.5,1,10
"1001","nonsyn","rare",950,0.00026471721305332,0.0288665604659599,-0.879290665139946,133422,0.1,0.001,6,6,0,0.5,0.5,1,10
"1002","syn","rare",950,0.00029466612981839,0.0300492294503631,-0.770324209838647,47189,0.1,0.001,6,6,0,0.5,0.5,1,10
"1003","nonsyn","int",1000,0.000727405209071581,0.0494520847709669,-0.539998998576051,22576,0.1,0.001,6,6,0,0.5,0.5,1,10
"1004","syn","int",1000,0.000666151789007746,0.0451134921485267,-0.356076603610783,21688,0.1,0.001,6,6,0,0.5,0.5,1,10
"1005","nonsyn","common",1000,0.016868085106383,0.128474553577682,0.0339182156041822,2820,0.1,0.001,6,6,0,0.5,0.5,1,10
"1006","syn","common",1000,0.00251258272142145,0.0732992785082515,-0.0041273686326947,11031,0.1,0.001,6,6,0,0.5,0.5,1,10
"1007","nonsyn","rare",1000,0.000266561102272386,0.0287103955373569,-0.879381508870987,133252,0.1,0.001,6,6,0,0.5,0.5,1,10
"1008","syn","rare",1000,0.000268118426343301,0.0289661226215732,-0.770396395004778,47253,0.1,0.001,6,6,0,0.5,0.5,1,10
"1009","nonsyn","int",1050,0.000660349333565642,0.0475594343017086,-0.535069712331809,22958,0.1,0.001,6,6,0,0.5,0.5,1,10
"1010","syn","int",1050,0.000495638253445316,0.0436534909049668,-0.356175416381874,21551,0.1,0.001,6,6,0,0.5,0.5,1,10
"1011","nonsyn","common",1050,0.0181236436950147,0.123582769507149,0.0438997118285591,2728,0.1,0.001,6,6,0,0.5,0.5,1,10
"1012","syn","common",1050,0.00248366439909297,0.0704384123845506,-0.00495132330485853,11025,0.1,0.001,6,6,0,0.5,0.5,1,10
"1013","nonsyn","rare",1050,0.000244500819195603,0.0281342423364674,-0.880485756407128,132447,0.1,0.001,6,6,0,0.5,0.5,1,10
"1014","syn","rare",1050,0.000250529461998292,0.0284880358107179,-0.771977990167605,46840,0.1,0.001,6,6,0,0.5,0.5,1,10
"1015","nonsyn","int",1100,0.000700399063069316,0.0459667206455357,-0.530024905503407,23054,0.1,0.001,6,6,0,0.5,0.5,1,10
"1016","syn","int",1100,0.00055904831894176,0.0425970980154063,-0.35472996983897,21772,0.1,0.001,6,6,0,0.5,0.5,1,10
"1017","nonsyn","common",1100,0.0172055852009961,0.122052418745569,0.0407534306324592,2811,0.1,0.001,6,6,0,0.5,0.5,1,10
"1018","syn","common",1100,0.00166256506910788,0.0677194968957214,-0.00765525067349033,11142,0.1,0.001,6,6,0,0.5,0.5,1,10
"1019","nonsyn","rare",1100,0.0002415597042486,0.0278993382035587,-0.881208556371929,132679,0.1,0.001,6,6,0,0.5,0.5,1,10
"1020","syn","rare",1100,0.000251551536607733,0.0281484788714278,-0.769033696103286,46889,0.1,0.001,6,6,0,0.5,0.5,1,10
"1021","nonsyn","int",1150,0.00051379705040722,0.0450362354613993,-0.530899130689578,22715,0.1,0.001,6,6,0,0.5,0.5,1,10
"1022","syn","int",1150,0.000479003888168858,0.0420253547025104,-0.348852007961931,21604,0.1,0.001,6,6,0,0.5,0.5,1,10
"1023","nonsyn","common",1150,0.0166218154650728,0.118546585165395,0.0391330033589384,2677,0.1,0.001,6,6,0,0.5,0.5,1,10
"1024","syn","common",1150,0.00287311086596801,0.0640079434651996,0.000987769474632635,10878,0.1,0.001,6,6,0,0.5,0.5,1,10
"1025","nonsyn","rare",1150,0.000245456674650005,0.0276232804200836,-0.879526897170486,132359,0.1,0.001,6,6,0,0.5,0.5,1,10
"1026","syn","rare",1150,0.000249046916115782,0.0276881657209623,-0.769240943127585,46743,0.1,0.001,6,6,0,0.5,0.5,1,10
"1027","nonsyn","int",1200,0.00050141600035735,0.0439852163071467,-0.522712148400267,22387,0.1,0.001,6,6,0,0.5,0.5,1,10
"1028","syn","int",1200,0.000455069720195771,0.0405905097172149,-0.338074961950483,21658,0.1,0.001,6,6,0,0.5,0.5,1,10
"1029","nonsyn","common",1200,0.0177554822148882,0.120709420288137,0.0476597625107597,2727,0.1,0.001,6,6,0,0.5,0.5,1,10
"1030","syn","common",1200,0.00208818263205013,0.0627395849082978,-0.00555315987947593,11170,0.1,0.001,6,6,0,0.5,0.5,1,10
"1031","nonsyn","rare",1200,0.000234836581121899,0.0269897757702644,-0.880271889563951,132757,0.1,0.001,6,6,0,0.5,0.5,1,10
"1032","syn","rare",1200,0.000232419468309634,0.027245753210005,-0.776563402257467,46907,0.1,0.001,6,6,0,0.5,0.5,1,10
"1033","nonsyn","int",1300,0.000614738929279577,0.0427791208677477,-0.51737747475832,45390,0.1,0.001,6,6,0,0.5,0.5,1,10
"1034","syn","int",1300,0.000555869414216254,0.0395785008510736,-0.346314227397687,43190,0.1,0.001,6,6,0,0.5,0.5,1,10
"1035","nonsyn","common",1300,0.0197339689004073,0.115264923912571,0.0619162230027722,5402,0.1,0.001,6,6,0,0.5,0.5,1,10
"1036","syn","common",1300,0.00228345205479452,0.0587629349276863,-0.00506459506399372,21900,0.1,0.001,6,6,0,0.5,0.5,1,10
"1037","nonsyn","rare",1300,0.000217113373267054,0.0264101883381373,-0.880699717368967,264939,0.1,0.001,6,6,0,0.5,0.5,1,10
"1038","syn","rare",1300,0.00025934669082383,0.0272535776547024,-0.768767461180766,93830,0.1,0.001,6,6,0,0.5,0.5,1,10
"1039","nonsyn","int",1400,0.000504768574096305,0.0407539496679768,-0.511404303995918,44982,0.1,0.001,6,6,0,0.5,0.5,1,10
"1040","syn","int",1400,0.000315260393771834,0.0370078573466046,-0.337287066383257,43223,0.1,0.001,6,6,0,0.5,0.5,1,10
"1041","nonsyn","common",1400,0.0133790358744395,0.091353142709178,0.0283250275490391,5352,0.1,0.001,6,6,0,0.5,0.5,1,10
"1042","syn","common",1400,0.00145262870159453,0.0555995555665287,-0.0102556636772881,21950,0.1,0.001,6,6,0,0.5,0.5,1,10
"1043","nonsyn","rare",1400,0.000202837991691108,0.0257007517943471,-0.880734537824539,265258,0.1,0.001,6,6,0,0.5,0.5,1,10
"1044","syn","rare",1400,0.000216898836822151,0.0258105457417259,-0.771859192824311,93107,0.1,0.001,6,6,0,0.5,0.5,1,10
"1045","nonsyn","int",1500,0.000468100153744784,0.0388063903209407,-0.50555008111579,45530,0.1,0.001,6,6,0,0.5,0.5,1,10
"1046","syn","int",1500,0.00040107125466645,0.0362205153845389,-0.331939307892565,43127,0.1,0.001,6,6,0,0.5,0.5,1,10
"1047","nonsyn","common",1500,0.0164216795040391,0.0942024786938334,0.0519555996004804,5323,0.1,0.001,6,6,0,0.5,0.5,1,10
