"","site_type","allele_freq","dist_bin","s_ben","theta","s_del","rho_exp","mu_exp","h_ben","h_del","end_freq","model","num_sites","mean_D","mean_r2","mean_D_prime","num_pairs"
"117","nonsyn","common",100,0.05,5,0.001,6,6,0.5,0.5,1,0,1,0.00384104464232355,0.441143167772152,-0.114823431946784,16733
"118","nonsyn","common",100,0.1,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0626958221825751,0.574808140125982,0.21613815266286,33630
"119","nonsyn","common",100,0.2,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0757428342674139,0.621138128295774,0.280734844529782,43715
"120","nonsyn","common",100,0.5,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0888588895728179,0.665922551716396,0.352103304903752,40615
"121","nonsyn","common",200,0,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.00348450039339103,0.304435543771512,-0.105258275088373,1271
"122","nonsyn","common",200,0.01,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.01626414022349,0.343189611001507,-0.0231649918221623,42418
"123","nonsyn","common",200,0.05,0.01,0,6,5,0.5,0.5,0.5,0,1,0.00224314688793802,0.273155168172285,0.00146014881579213,1268307
"124","nonsyn","common",200,0.05,0.01,0,6,6.5,0.5,0.5,0.5,0,1,0.00783356902293797,0.33246432528459,0.0123391560106758,1227179
"125","nonsyn","common",200,0.05,0.01,0,6,7,0.5,0.5,0.5,0,1,0.00771965001560287,0.333453972800078,0.010574914054413,124977
"126","nonsyn","common",200,0.05,0.01,1e-04,6,5,0.5,0.5,0.5,0,1,0.00770243057885886,0.323221891440379,0.00733274313335193,2056218
"127","nonsyn","common",200,0.05,0.01,1e-04,6,6,0.5,0.5,0.5,0,1,0.0124745682325492,0.346351701347492,0.0156507357678223,1346674
"128","nonsyn","common",200,0.05,0.01,1e-04,6,6.5,0.5,0.5,0.5,0,1,0.0130793362480033,0.34607942906732,0.0122522488913616,418801
"129","nonsyn","common",200,0.05,0.01,1e-04,6,7,0.5,0.5,0.5,0,1,0.0128886413567953,0.344368238923496,0.0102454358505014,48703
"130","nonsyn","common",200,0.05,0.01,5e-04,6,5.5,0.5,0.5,0.5,0,1,0.0212301643910336,0.421431365992064,0.0456824060769223,861665
"131","nonsyn","common",200,0.05,0.01,5e-04,6,6,0.5,0.5,0.5,0,1,0.0308349540328284,0.414808308346633,0.0664016877159641,268670
"132","nonsyn","common",200,0.05,0.01,5e-04,6,6.5,0.5,0.5,0.5,0,1,0.0548874183148906,0.447371292248527,0.149682080593697,22954
"133","nonsyn","common",200,0.05,0.01,5e-04,6,7,0.5,0.5,0.5,0,1,0.0784687247547605,0.499719175799786,0.246536017490744,1733
"134","nonsyn","common",200,0.05,0.01,0.001,5,6,0.5,0.5,0.5,0,1,0.00587340295872909,0.0707030428106645,0.0089248386427491,47588
"135","nonsyn","common",200,0.05,0.01,0.001,6,6,0,0,0.5,0,1,0.0033907046829581,0.14674582749116,-0.0761429595746163,1665742
"136","nonsyn","common",200,0.05,0.01,0.001,6,6,0.25,0.25,0.5,0,1,0.0292284198524055,0.376573964018132,0.0363503094174805,31573
"137","nonsyn","common",200,0.05,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0500751497218943,0.462866800636976,0.159119487264967,281188
"138","nonsyn","common",200,0.05,0.01,0.001,6,6,0.5,0.5,0.75,0,1,0.0609804705727712,0.52144278188074,0.22147546932513,60862
"139","nonsyn","common",200,0.05,0.01,0.001,6,6,0.5,0.5,1,0,1,0.000638003557601756,0.295553843207644,-0.108790670710471,9557
"140","nonsyn","common",200,0.05,0.01,0.001,6,6,0.75,0.75,0.5,0,1,0.0725446516446516,0.537086735331165,0.281048119724858,3861
"141","nonsyn","common",200,0.05,0.01,0.001,6,6,1,1,0.5,0,1,0.0740733063328424,0.541077625930505,0.302589640421866,2716
"142","nonsyn","common",200,0.05,0.01,0.001,6,6.5,0.5,0.5,0.5,0,1,0.0886882217621348,0.534076536235482,0.343450850645888,4347
"143","nonsyn","common",200,0.05,0.01,0.001,6,7,0.5,0.5,0.5,0,1,0.132350549450549,0.652519057054463,0.588410254198878,273
"144","nonsyn","common",200,0.05,0.01,0.001,6.5,6,0.5,0.5,0.5,0,1,0.0506269124472024,0.61605610100873,0.170660664580102,76708
"145","nonsyn","common",200,0.05,0.01,0.001,7,6,0.5,0.5,0.5,0,1,0.052433871723532,0.69977960766453,0.193634198134257,68290
"146","nonsyn","common",200,0.05,0.01,0.005,6,5.5,0.5,0.5,0.5,0,1,0.026701897468912,0.514673335494532,0.0715452222495357,59026
"147","nonsyn","common",200,0.05,0.01,0.005,6,6,0.5,0.5,0.5,0,1,0.019856559009438,0.427057311130718,0.0628201099925131,11549
"148","nonsyn","common",200,0.05,0.01,0.005,6,6.5,0.5,0.5,0.5,0,1,0.0262765799256506,0.392994173626769,0.102502840572412,538
"149","nonsyn","common",200,0.05,0.01,0.005,6,7,0.5,0.5,0.5,0,1,0.0681705882352941,0.451093558673587,0.249431730111285,17
"150","nonsyn","common",200,0.05,0.01,0.01,6,6.5,0.5,0.5,0.5,0,1,0.01412,0.360065096746979,0.0423495568565469,300
"151","nonsyn","common",200,0.05,0.01,0.01,6,7,0.5,0.5,0.5,0,1,NA,NA,NA,8
"152","nonsyn","common",200,0.05,1,0.001,6,6,0.5,0.5,0.5,0,1,0.0317158563457598,0.406729890362688,0.0514438636934015,77603
"153","nonsyn","common",200,0.05,1,0.001,6,6,0.5,0.5,0.75,0,1,0.0383259117172332,0.462382563177326,0.0771881279054519,85498
"154","nonsyn","common",200,0.05,1,0.001,6,6,0.5,0.5,1,0,1,0.0237766748263976,0.459526079833116,0.00362520844248055,80068
"155","nonsyn","common",200,0.05,5,0.001,6,6,0.5,0.5,0.5,0,1,0.0138339637767707,0.345210690032944,-0.042339997005324,61121
"156","nonsyn","common",200,0.05,5,0.001,6,6,0.5,0.5,0.75,0,1,0.0219680435598949,0.381871694461217,-0.0131043162451253,37282
"157","nonsyn","common",200,0.05,5,0.001,6,6,0.5,0.5,1,0,1,0.00631406893004115,0.338760148521245,-0.0894129743354201,31104
"158","nonsyn","common",200,0.1,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.06487857332066,0.521255006774055,0.231093529852422,64177
"159","nonsyn","common",200,0.2,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0795507183235517,0.572849179602547,0.306700714774022,83319
"160","nonsyn","common",200,0.5,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0925113034663437,0.623334252145521,0.373885015277441,75959
"161","nonsyn","common",300,0,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.00114503510531595,0.23209738205479,-0.0983377444450636,997
"162","nonsyn","common",300,0.01,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0173735622686409,0.271103428476391,-0.000124887678468954,30256
"163","nonsyn","common",300,0.05,0.01,0,6,5,0.5,0.5,0.5,0,1,0.00214685985453834,0.212270423969608,0.00255331706286674,919830
"164","nonsyn","common",300,0.05,0.01,0,6,6.5,0.5,0.5,0.5,0,1,0.00679534450501597,0.253867277783912,0.0109599949379968,868028
"165","nonsyn","common",300,0.05,0.01,0,6,7,0.5,0.5,0.5,0,1,0.00683924667220364,0.253928306315336,0.0103209129041118,89098
"166","nonsyn","common",300,0.05,0.01,1e-04,6,5,0.5,0.5,0.5,0,1,0.00766694507688331,0.25906915506603,0.0101683123216651,1458639
"167","nonsyn","common",300,0.05,0.01,1e-04,6,6,0.5,0.5,0.5,0,1,0.0119735115693512,0.273886766912688,0.0198637947225709,954764
"168","nonsyn","common",300,0.05,0.01,1e-04,6,6.5,0.5,0.5,0.5,0,1,0.0129503707824129,0.274698038387955,0.0205704199419645,298423
"169","nonsyn","common",300,0.05,0.01,1e-04,6,7,0.5,0.5,0.5,0,1,0.0133536909096121,0.273799074004897,0.0212931287448245,34883
"170","nonsyn","common",300,0.05,0.01,5e-04,6,5.5,0.5,0.5,0.5,0,1,0.0217212769708604,0.353528299155482,0.0540847584185191,606905
"171","nonsyn","common",300,0.05,0.01,5e-04,6,6,0.5,0.5,0.5,0,1,0.0326970780032502,0.357217882689427,0.0871920438300497,191992
"172","nonsyn","common",300,0.05,0.01,5e-04,6,6.5,0.5,0.5,0.5,0,1,0.0558155910165484,0.403876678423905,0.169933843054,16920
"173","nonsyn","common",300,0.05,0.01,5e-04,6,7,0.5,0.5,0.5,0,1,0.0737762025316456,0.4520179143776,0.216750547271765,1185
"174","nonsyn","common",300,0.05,0.01,0.001,5,6,0.5,0.5,0.5,0,1,0.00443453196347032,0.0477998223032671,0.00655737757614864,35040
"175","nonsyn","common",300,0.05,0.01,0.001,6,6,0,0,0.5,0,1,0.00287803923955474,0.107078472389868,-0.0630043031678839,1215814
"176","nonsyn","common",300,0.05,0.01,0.001,6,6,0.25,0.25,0.5,0,1,0.0324855879989285,0.323044997773547,0.0657437850355548,22398
"177","nonsyn","common",300,0.05,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0509647402319015,0.416190861217402,0.171225956704901,202931
"178","nonsyn","common",300,0.05,0.01,0.001,6,6,0.5,0.5,0.75,0,1,0.0616041730014296,0.474423984419171,0.235353442027757,44069
"179","nonsyn","common",300,0.05,0.01,0.001,6,6,0.5,0.5,1,0,1,0.00409486752460257,0.221476499460283,-0.0705990731290428,6605
"180","nonsyn","common",300,0.05,0.01,0.001,6,6,0.75,0.75,0.5,0,1,0.0728629576964095,0.488363304399543,0.282135703515841,2813
"181","nonsyn","common",300,0.05,0.01,0.001,6,6,1,1,0.5,0,1,0.0780728658536586,0.509349669587187,0.32709813836972,1968
